latitude,longitude,detected_at,confidence,frp,satellite
19.03128,-90.55619,2026-05-16T07:32:00Z,n,1.12,N20
18.90334,-90.69308,2026-05-16T07:32:00Z,n,1.45,N20
18.90461,-90.6945,2026-05-16T07:13:00Z,n,0.8,N
19.01022,-90.73817,2026-05-16T07:13:00Z,n,0.76,N
18.912553787231445,-90.68543243408203,2026-05-15T22:30:21Z,processed,42.676387786865234,GOES-18
18.903162002563477,-90.69904327392578,2026-05-15T22:30:20Z,processed,64.09942626953125,GOES-19
19.1201114654541,-90.58119201660156,2026-05-15T19:10:20Z,processed,57.14106369018555,GOES-19
19.03325,-90.55679,2026-05-15T19:01:00Z,n,18.93,N20
19.03205,-90.5582,2026-05-15T19:01:00Z,n,9.78,N20
19.02831,-90.55746,2026-05-15T19:01:00Z,n,6.06,N20
19.02952,-90.55605,2026-05-15T19:01:00Z,n,6.1,N20
19.1862,-90.6144,2026-05-15T19:01:00Z,l,3.91,N20
19.1673,-90.6555,2026-05-15T19:01:00Z,n,4.58,N20
19.14816,-90.56737,2026-05-15T19:01:00Z,n,13.27,N20
19.11792,-90.60303,2026-05-15T19:01:00Z,n,3.08,N20
19.11088,-90.57692,2026-05-15T19:01:00Z,n,5.75,N20
19.11004,-90.58169,2026-05-15T19:01:00Z,n,5.96,N20
19.06759,-90.79958,2026-05-15T18:43:00Z,h,8.39,N
19.15215,-90.56964,2026-05-15T18:43:00Z,n,2.51,N
19.0699,-90.79961,2026-05-15T18:43:00Z,n,6.9,N
19.02233,-90.80458,2026-05-15T18:43:00Z,n,3.19,N
19.02147,-90.80854,2026-05-15T18:43:00Z,n,3.19,N
19.155494689941406,-90.80916595458984,2026-05-15T15:40:21Z,processed,199.41427612304688,GOES-18
34.15244,-118.19444,2026-05-15T09:28:00Z,n,1.99,N20
34.03557,-118.10581,2026-05-15T09:09:00Z,n,0.34,N
34.15248,-118.19666,2026-05-15T09:09:00Z,n,0.94,N
19.15007,-90.5719,2026-05-15T07:32:00Z,n,1.21,N
18.964597702026367,-90.80828094482422,2026-05-14T21:40:20Z,high_probability,69.07154083251953,GOES-19
19.004362106323242,-90.8128433227539,2026-05-14T21:00:20Z,processed,55.726112365722656,GOES-19
18.98444175720215,-90.81053161621094,2026-05-14T21:00:20Z,processed,54.7362174987793,GOES-19
18.964597702026367,-90.80828094482422,2026-05-14T21:00:20Z,processed,148.3448486328125,GOES-19
18.94455909729004,-90.80586242675781,2026-05-14T21:00:20Z,high_probability,53.042659759521484,GOES-19
19.085437774658203,-90.90414428710938,2026-05-14T21:00:20Z,processed,37.39116668701172,GOES-19
18.99631,-90.7959,2026-05-14T20:32:00Z,71,101.85,Aqua (MODIS)
18.99076,-90.8414,2026-05-14T20:32:00Z,69,81.26,Aqua (MODIS)
18.99952,-90.8008,2026-05-14T20:32:00Z,69,79.11,Aqua (MODIS)
18.98781,-90.83659,2026-05-14T20:32:00Z,80,134.26,Aqua (MODIS)
18.95428,-90.82854,2026-05-14T20:32:00Z,79,127.85,Aqua (MODIS)
18.95077,-90.82049,2026-05-14T20:32:00Z,80,156.75,Aqua (MODIS)
18.98979949951172,-90.818359375,2026-05-14T20:30:21Z,processed,171.53067016601562,GOES-18
18.949176788330078,-90.80316162109375,2026-05-14T20:30:21Z,processed,118.29447937011719,GOES-18
18.94455909729004,-90.80586242675781,2026-05-14T20:30:20Z,processed,53.67024612426758,GOES-19
18.964597702026367,-90.80828094482422,2026-05-14T20:30:20Z,processed,156.60488891601562,GOES-19
18.984134674072266,-90.79007720947266,2026-05-14T20:30:20Z,processed,77.1041488647461,GOES-19
18.98444175720215,-90.81053161621094,2026-05-14T20:30:20Z,processed,147.45004272460938,GOES-19
19.004058837890625,-90.79239654541016,2026-05-14T20:30:20Z,processed,59.06415939331055,GOES-19
19.004362106323242,-90.8128433227539,2026-05-14T20:30:20Z,processed,111.04747772216797,GOES-19
18.93134,-90.81966,2026-05-14T19:20:00Z,n,6.5,N20
19.17869,-90.55194,2026-05-14T19:20:00Z,n,10.29,N20
19.08893,-90.90218,2026-05-14T19:20:00Z,n,6.37,N20
19.07575,-90.89997,2026-05-14T19:20:00Z,l,6.74,N20
19.07245,-90.89941,2026-05-14T19:20:00Z,l,6.34,N20
19.03303,-90.84409,2026-05-14T19:20:00Z,n,2.89,N20
19.0226,-90.84606,2026-05-14T19:20:00Z,n,7.5,N20
